CaseNo,type,slope,class armour,B,Rc,material_cost,img
131,CRMR,30.3,17.08 m³,8.158,9.907,36122.32,CRMR.64b.png
132,CRMR,30.3,17.08 m³,8.158,9.907,41184.27,CRMR.64c.png
133,CRMR,30.3,17.08 m³,9.211,9.59,31962.69,CRMR.65a.png
134,CRMR,30.3,17.08 m³,9.211,9.59,36333.78,CRMR.65b.png
150,CRMR,30.3,17.08 m³,14.474,7.95,42350.6,CRMR.70c.png
135,CRMR,30.3,17.08 m³,9.211,9.59,41388.42,CRMR.65c.png
137,CRMR,30.3,17.08 m³,10.263,9.269,36542.08,CRMR.66b.png
138,CRMR,30.3,17.08 m³,10.263,9.269,41588.96,CRMR.66c.png
139,CRMR,30.3,17.08 m³,11.316,8.945,32320.7,CRMR.67a.png
140,CRMR,30.3,17.08 m³,11.316,8.945,36747.03,CRMR.67b.png
141,CRMR,30.3,17.08 m³,11.316,8.945,41785.68,CRMR.67c.png
142,CRMR,30.3,17.08 m³,12.368,8.617,32495.19,CRMR.68a.png
143,CRMR,30.3,17.08 m³,12.368,8.617,36948.44,CRMR.68b.png
144,CRMR,30.3,17.08 m³,12.368,8.617,41978.37,CRMR.68c.png
145,CRMR,30.3,17.08 m³,13.421,8.286,32666.43,CRMR.69a.png
146,CRMR,30.3,17.08 m³,13.421,8.286,37146.09,CRMR.69b.png
147,CRMR,30.3,17.08 m³,13.421,8.286,42166.76,CRMR.69c.png
148,CRMR,30.3,17.08 m³,14.474,7.95,32834.2,CRMR.70a.png
136,CRMR,30.3,17.08 m³,10.263,9.269,32143.14,CRMR.66a.png
122,CRMR,30.3,17.08 m³,5.0,10.339,34970.3,CRMR.61b.png
180,CRMR,30.3,17.08 m³,25.0,4.287,43839.05,CRMR.80c.png
182,CRMR,33.7,17.08 m³,5.0,10.339,31939.81,CRMR.81b.png
213,CRMR,33.7,17.08 m³,15.526,7.611,39465.74,CRMR.91c.png
214,CRMR,33.7,17.08 m³,16.579,7.266,30704.09,CRMR.92a.png
215,CRMR,33.7,17.08 m³,16.579,7.266,34963.22,CRMR.92b.png
216,CRMR,33.7,17.08 m³,16.579,7.266,39675.23,CRMR.92c.png
217,CRMR,33.7,17.08 m³,17.632,6.917,30887.46,CRMR.93a.png
218,CRMR,33.7,17.08 m³,17.632,6.917,35174.88,CRMR.93b.png
219,CRMR,33.7,17.08 m³,17.632,6.917,39879.6,CRMR.93c.png
220,CRMR,33.7,17.08 m³,18.684,6.562,31066.62,CRMR.94a.png
221,CRMR,33.7,17.08 m³,18.684,6.562,35381.68,CRMR.94b.png
222,CRMR,33.7,17.08 m³,18.684,6.562,40078.43,CRMR.94c.png
223,CRMR,33.7,17.08 m³,19.737,6.201,31241.21,CRMR.95a.png
224,CRMR,33.7,17.08 m³,19.737,6.201,35583.21,CRMR.95b.png
212,CRMR,33.7,17.08 m³,15.526,7.611,34747.07,CRMR.91b.png
225,CRMR,33.7,17.08 m³,19.737,6.201,40271.24,CRMR.95c.png
227,CRMR,33.7,17.08 m³,20.789,5.834,35778.94,CRMR.96b.png
228,CRMR,33.7,17.08 m³,20.789,5.834,40457.46,CRMR.96c.png
229,CRMR,33.7,17.08 m³,21.842,5.46,31574.83,CRMR.97a.png
230,CRMR,33.7,17.08 m³,21.842,5.46,35968.3,CRMR.97b.png
231,CRMR,33.7,17.08 m³,21.842,5.46,40636.39,CRMR.97c.png
232,CRMR,33.7,17.08 m³,22.895,5.078,31732.73,CRMR.98a.png
